film_id,title,film_duration,description,special_features,release_year,rental_duration,rental_rate,replacement_cost,language,category,total_copias
370,"GORGEOUS BINGO",108,"A Action-Packed Display of a Sumo Wrestler And a Car who must Overcome a Waitress in A Baloon Factory","Deleted Scenes,Behind the Scenes",2006,4,2.99,26.99,English,Children,5
373,"GRADUATE LORD",156,"A Lacklusture Epistle of a Girl And a A Shark who must Meet a Mad Scientist in Ancient China","Trailers,Behind the Scenes",2006,7,2.99,14.99,English,Children,5
392,"HALL CASSIDY",51,"A Beautiful Panorama of a Pastry Chef And a A Shark who must Battle a Pioneer in Soviet Georgia","Commentaries,Behind the Scenes",2006,5,4.99,13.99,English,Children,6
409,"HEARTBREAKERS BRIGHT",59,"A Awe-Inspiring Documentary of a A Shark And a Dentist who must Outrace a Pastry Chef in The Canadian Rockies","Trailers,Deleted Scenes",2006,3,4.99,9.99,English,Children,7
423,"HOLLYWOOD ANONYMOUS",69,"A Fast-Paced Epistle of a Boy And a Explorer who must Escape a Dog in A U-Boat","Trailers,Behind the Scenes",2006,7,0.99,29.99,English,Children,4
424,"HOLOCAUST HIGHBALL",149,"A Awe-Inspiring Yarn of a Composer And a Man who must Find a Robot in Soviet Georgia","Deleted Scenes",2006,6,0.99,12.99,English,Children,5
450,"IDOLS SNATCHERS",84,"A Insightful Drama of a Car And a Composer who must Fight a Man in A Monastery",Trailers,2006,5,2.99,29.99,English,Children,7
468,"INVASION CYCLONE",97,"A Lacklusture Character Study of a Mad Scientist And a Womanizer who must Outrace a Explorer in A Monastery","Trailers,Deleted Scenes",2006,5,2.99,12.99,English,Children,8
485,"JERSEY SASSY",60,"A Lacklusture Documentary of a Madman And a Mad Cow who must Find a Feminist in Ancient Japan","Deleted Scenes,Behind the Scenes",2006,6,4.99,16.99,English,Children,3
491,"JUMPING WRATH",74,"A Touching Epistle of a Monkey And a Feminist who must Discover a Boat in Berlin","Commentaries,Behind the Scenes",2006,4,0.99,18.99,English,Children,6
505,"LABYRINTH LEAGUE",46,"A Awe-Inspiring Saga of a Composer And a Frisbee who must Succumb a Pioneer in The Sahara Desert","Commentaries,Behind the Scenes",2006,6,2.99,24.99,English,Children,4
509,"LANGUAGE COWBOY",78,"A Epic Yarn of a Cat And a Madman who must Vanquish a Dentist in An Abandoned Amusement Park","Trailers,Deleted Scenes",2006,5,0.99,26.99,English,Children,3
515,"LEGALLY SECRETARY",113,"A Astounding Tale of a A Shark And a Moose who must Meet a Womanizer in The Sahara Desert","Trailers,Commentaries,Behind the Scenes",2006,7,4.99,14.99,English,Children,2
547,"MAGIC MALLRATS",117,"A Touching Documentary of a Pastry Chef And a Pastry Chef who must Build a Mad Scientist in California","Trailers,Commentaries",2006,3,0.99,19.99,English,Children,2
553,"MAKER GABLES",136,"A Stunning Display of a Moose And a Database Administrator who must Pursue a Composer in A Jet Boat","Deleted Scenes,Behind the Scenes",2006,4,0.99,12.99,English,Children,3
573,"MICROCOSMOS PARADISE",105,"A Touching Character Study of a Boat And a Student who must Sink a A Shark in Nigeria",Commentaries,2006,6,2.99,22.99,English,Children,4
588,"MODEL FISH",175,"A Beautiful Panorama of a Boat And a Crocodile who must Outrace a Dog in Australia","Trailers,Commentaries,Behind the Scenes",2006,4,4.99,11.99,English,Children,4
608,"MURDER ANTITRUST",166,"A Brilliant Yarn of a Car And a Database Administrator who must Escape a Boy in A MySQL Convention","Trailers,Deleted Scenes,Behind the Scenes",2006,6,2.99,11.99,English,Children,6
626,"NOON PAPI",57,"A Unbelieveable Character Study of a Mad Scientist And a Astronaut who must Find a Pioneer in A Manhattan Penthouse","Behind the Scenes",2006,5,2.99,12.99,English,Children,4
688,"POLISH BROOKLYN",61,"A Boring Character Study of a Database Administrator And a Lumberjack who must Reach a Madman in The Outback","Trailers,Commentaries,Deleted Scenes,Behind the Scenes",2006,6,0.99,12.99,English,Children,4
735,"ROBBERS JOON",102,"A Thoughtful Story of a Mad Scientist And a Waitress who must Confront a Forensic Psychologist in Soviet Georgia",Commentaries,2006,7,2.99,26.99,English,Children,7
755,"SABRINA MIDNIGHT",99,"A Emotional Story of a Squirrel And a Crocodile who must Succumb a Husband in The Sahara Desert","Trailers,Behind the Scenes",2006,5,4.99,11.99,English,Children,7
761,"SANTA PARIS",154,"A Emotional Documentary of a Moose And a Car who must Redeem a Mad Cow in A Baloon Factory","Commentaries,Behind the Scenes",2006,7,2.99,23.99,English,Children,3
768,"SCARFACE BANG",102,"A Emotional Yarn of a Teacher And a Girl who must Find a Teacher in A Baloon Factory","Commentaries,Deleted Scenes",2006,3,4.99,11.99,English,Children,6
786,"SHEPHERD MIDSUMMER",113,"A Thoughtful Drama of a Robot And a Womanizer who must Kill a Lumberjack in A Baloon","Deleted Scenes",2006,7,0.99,14.99,English,Children,7
833,"SPLENDOR PATTON",134,"A Taut Story of a Dog And a Explorer who must Find a Astronaut in Berlin","Trailers,Commentaries,Deleted Scenes,Behind the Scenes",2006,5,0.99,20.99,English,Children,7
852,"STRANGELOVE DESIRE",103,"A Awe-Inspiring Panorama of a Lumberjack And a Waitress who must Defeat a Crocodile in An Abandoned Amusement Park","Trailers,Commentaries,Deleted Scenes",2006,4,0.99,27.99,English,Children,7
853,"STRANGER STRANGERS",139,"A Awe-Inspiring Yarn of a Womanizer And a Explorer who must Fight a Woman in The First Manned Space Station","Commentaries,Deleted Scenes",2006,3,4.99,12.99,English,Children,3
864,"SUNDANCE INVASION",92,"A Epic Drama of a Lumberjack And a Explorer who must Confront a Hunter in A Baloon Factory","Commentaries,Behind the Scenes",2006,5,0.99,21.99,English,Children,6
873,"SWEETHEARTS SUSPECTS",108,"A Brilliant Character Study of a Frisbee And a Sumo Wrestler who must Confront a Woman in The Gulf of Mexico","Trailers,Commentaries,Deleted Scenes,Behind the Scenes",2006,3,0.99,13.99,English,Children,8
883,"TEQUILA PAST",53,"A Action-Packed Panorama of a Mad Scientist And a Robot who must Challenge a Student in Nigeria","Commentaries,Behind the Scenes",2006,6,4.99,17.99,English,Children,2
889,"TIES HUNGER",111,"A Insightful Saga of a Astronaut And a Explorer who must Pursue a Mad Scientist in A U-Boat","Deleted Scenes",2006,3,4.99,28.99,English,Children,3
896,"TOOTSIE PILOT",157,"A Awe-Inspiring Documentary of a Womanizer And a Pastry Chef who must Kill a Lumberjack in Berlin","Commentaries,Deleted Scenes,Behind the Scenes",2006,3,0.99,10.99,English,Children,4
918,"TWISTED PIRATES",152,"A Touching Display of a Frisbee And a Boat who must Kill a Girl in A MySQL Convention","Trailers,Commentaries,Deleted Scenes",2006,4,4.99,23.99,English,Children,4
928,"UPTOWN YOUNG",84,"A Fateful Documentary of a Dog And a Hunter who must Pursue a Teacher in An Abandoned Amusement Park",Commentaries,2006,5,2.99,16.99,English,Children,3
959,"WARLOCK WEREWOLF",83,"A Astounding Yarn of a Pioneer And a Crocodile who must Defeat a A Shark in The Outback","Commentaries,Behind the Scenes",2006,6,2.99,10.99,English,Children,2
993,"WRONG BEHAVIOR",178,"A Emotional Saga of a Crocodile And a Sumo Wrestler who must Discover a Mad Cow in New Orleans","Trailers,Behind the Scenes",2006,6,2.99,10.99,English,Children,7
999,"ZOOLANDER FICTION",101,"A Fateful Reflection of a Waitress And a Boat who must Discover a Sumo Wrestler in Ancient China","Trailers,Deleted Scenes",2006,5,2.99,28.99,English,Children,5
37,"ARIZONA BANG",121,"A Brilliant Panorama of a Mad Scientist And a Mad Cow who must Meet a Pioneer in A Monastery","Trailers,Deleted Scenes",2006,3,2.99,28.99,English,Classics,7
60,"BEAST HUNCHBACK",89,"A Awe-Inspiring Epistle of a Student And a Squirrel who must Defeat a Boy in Ancient China","Deleted Scenes,Behind the Scenes",2006,3,4.99,22.99,English,Classics,3
91,"BOUND CHEAPER",98,"A Thrilling Panorama of a Database Administrator And a Astronaut who must Challenge a Lumberjack in A Baloon","Behind the Scenes",2006,5,0.99,17.99,English,Classics,8
116,"CANDIDATE PERDITION",70,"A Brilliant Epistle of a Composer And a Database Administrator who must Vanquish a Mad Scientist in The First Manned Space Station","Deleted Scenes,Behind the Scenes",2006,4,2.99,10.99,English,Classics,6
131,"CENTER DINOSAUR",152,"A Beautiful Character Study of a Sumo Wrestler And a Dentist who must Find a Dog in California","Deleted Scenes",2006,5,4.99,12.99,English,Classics,6
166,"COLOR PHILADELPHIA",149,"A Thoughtful Panorama of a Car And a Crocodile who must Sink a Monkey in The Sahara Desert","Commentaries,Behind the Scenes",2006,6,2.99,19.99,English,Classics,6
180,"CONSPIRACY SPIRIT",184,"A Awe-Inspiring Story of a Student And a Frisbee who must Conquer a Crocodile in An Abandoned Mine Shaft","Trailers,Commentaries",2006,4,2.99,27.99,English,Classics,2
184,"CORE SUIT",92,"A Unbelieveable Tale of a Car And a Explorer who must Confront a Boat in A Manhattan Penthouse","Deleted Scenes",2006,3,2.99,24.99,English,Classics,5
190,"CREEPERS KANE",172,"A Awe-Inspiring Reflection of a Squirrel And a Boat who must Outrace a Car in A Jet Boat","Trailers,Behind the Scenes",2006,5,4.99,23.99,English,Classics,4
196,"CRUELTY UNFORGIVEN",69,"A Brilliant Tale of a Car And a Moose who must Battle a Dentist in Nigeria","Deleted Scenes,Behind the Scenes",2006,7,0.99,29.99,English,Classics,2
228,"DETECTIVE VISION",143,"A Fanciful Documentary of a Pioneer And a Woman who must Redeem a Hunter in Ancient Japan","Trailers,Commentaries,Behind the Scenes",2006,4,0.99,16.99,English,Classics,7
249,"DRACULA CRYSTAL",176,"A Thrilling Reflection of a Feminist And a Cat who must Find a Frisbee in An Abandoned Fun House",Commentaries,2006,7,0.99,26.99,English,Classics,6
266,"DYNAMITE TARZAN",141,"A Intrepid Documentary of a Forensic Psychologist And a Mad Scientist who must Face a Explorer in A U-Boat","Deleted Scenes",2006,4,0.99,27.99,English,Classics,8
297,"EXTRAORDINARY CONQUERER",122,"A Stunning Story of a Dog And a Feminist who must Face a Forensic Psychologist in Berlin","Trailers,Commentaries,Deleted Scenes",2006,6,2.99,29.99,English,Classics,2
341,"FROST HEAD",82,"A Amazing Reflection of a Lumberjack And a Cat who must Discover a Husband in A MySQL Convention","Trailers,Deleted Scenes",2006,5,0.99,13.99,English,Classics,8
346,"GALAXY SWEETHEARTS",128,"A Emotional Reflection of a Womanizer And a Pioneer who must Face a Squirrel in Berlin","Deleted Scenes",2006,4,4.99,13.99,English,Classics,6
357,"GILBERT PELICAN",114,"A Fateful Tale of a Man And a Feminist who must Conquer a Crocodile in A Manhattan Penthouse","Trailers,Commentaries",2006,7,0.99,13.99,English,Classics,4
358,"GILMORE BOILED",163,"A Unbelieveable Documentary of a Boat And a Husband who must Succumb a Student in A U-Boat","Trailers,Behind the Scenes",2006,5,0.99,29.99,English,Classics,8
425,"HOLY TADPOLE",88,"A Action-Packed Display of a Feminist And a Pioneer who must Pursue a Dog in A Baloon Factory","Behind the Scenes",2006,6,0.99,20.99,English,Classics,2
432,"HOPE TOOTSIE",139,"A Amazing Documentary of a Student And a Sumo Wrestler who must Outgun a A Shark in A Shark Tank","Trailers,Deleted Scenes,Behind the Scenes",2006,4,2.99,22.99,English,Classics,5
445,"HYDE DOCTOR",100,"A Fanciful Documentary of a Boy And a Woman who must Redeem a Womanizer in A Jet Boat","Trailers,Deleted Scenes",2006,5,2.99,11.99,English,Classics,6
469,"IRON MOON",46,"A Fast-Paced Documentary of a Mad Cow And a Boy who must Pursue a Dentist in A Baloon","Commentaries,Behind the Scenes",2006,7,4.99,27.99,English,Classics,3
471,"ISLAND EXORCIST",84,"A Fanciful Panorama of a Technical Writer And a Boy who must Find a Dentist in An Abandoned Fun House","Trailers,Commentaries",2006,7,2.99,23.99,English,Classics,7
480,"JEEPERS WEDDING",84,"A Astounding Display of a Composer And a Dog who must Kill a Pastry Chef in Soviet Georgia","Trailers,Commentaries,Deleted Scenes",2006,3,2.99,29.99,English,Classics,4
482,"JEOPARDY ENCINO",102,"A Boring Panorama of a Man And a Mad Cow who must Face a Explorer in Ancient India","Trailers,Commentaries",2006,3,0.99,12.99,English,Classics,3
484,"JERK PAYCHECK",172,"A Touching Character Study of a Pastry Chef And a Database Administrator who must Reach a A Shark in Ancient Japan","Trailers,Commentaries,Deleted Scenes,Behind the Scenes",2006,3,2.99,13.99,English,Classics,7
487,"JINGLE SAGEBRUSH",124,"A Epic Character Study of a Feminist And a Student who must Meet a Woman in A Baloon","Trailers,Commentaries",2006,6,4.99,29.99,English,Classics,3
512,"LEAGUE HELLFIGHTERS",110,"A Thoughtful Saga of a A Shark And a Monkey who must Outgun a Student in Ancient China",Trailers,2006,5,4.99,25.99,English,Classics,6
523,"LIGHTS DEER",174,"A Unbelieveable Epistle of a Dog And a Woman who must Confront a Moose in The Gulf of Mexico",Commentaries,2006,7,0.99,21.99,English,Classics,2
525,"LOATHING LEGALLY",140,"A Boring Epistle of a Pioneer And a Mad Scientist who must Escape a Frisbee in The Gulf of Mexico","Deleted Scenes",2006,4,0.99,29.99,English,Classics,8
536,"LOVELY JINGLE",65,"A Fanciful Yarn of a Crocodile And a Forensic Psychologist who must Discover a Crocodile in The Outback","Trailers,Behind the Scenes",2006,3,2.99,18.99,English,Classics,5
537,"LOVER TRUMAN",75,"A Emotional Yarn of a Robot And a Boy who must Outgun a Technical Writer in A U-Boat",Trailers,2006,3,2.99,29.99,English,Classics,3
548,"MAGNIFICENT CHITTY",53,"A Insightful Story of a Teacher And a Hunter who must Face a Mad Cow in California","Commentaries,Deleted Scenes",2006,3,2.99,27.99,English,Classics,2
554,"MALKOVICH PET",159,"A Intrepid Reflection of a Waitress And a A Shark who must Kill a Squirrel in The Outback","Behind the Scenes",2006,6,2.99,22.99,English,Classics,7
578,"MILLION ACE",142,"A Brilliant Documentary of a Womanizer And a Squirrel who must Find a Technical Writer in The Sahara Desert","Deleted Scenes",2006,4,4.99,16.99,English,Classics,5
611,"MUSKETEERS WAIT",73,"A Touching Yarn of a Student And a Moose who must Fight a Mad Cow in Australia","Deleted Scenes,Behind the Scenes",2006,7,4.99,17.99,English,Classics,6
633,"OCTOBER SUBMARINE",54,"A Taut Epistle of a Monkey And a Boy who must Confront a Husband in A Jet Boat","Trailers,Commentaries,Behind the Scenes",2006,6,4.99,10.99,English,Classics,3
652,"PAJAMA JAWBREAKER",126,"A Emotional Drama of a Boy And a Technical Writer who must Redeem a Sumo Wrestler in California","Trailers,Deleted Scenes",2006,3,0.99,14.99,English,Classics,4
663,"PATIENT SISTER",99,"A Emotional Epistle of a Squirrel And a Robot who must Confront a Lumberjack in Soviet Georgia","Trailers,Commentaries",2006,7,0.99,29.99,English,Classics,5
694,"PREJUDICE OLEANDER",98,"A Epic Saga of a Boy And a Dentist who must Outrace a Madman in A U-Boat","Trailers,Commentaries,Deleted Scenes",2006,6,4.99,15.99,English,Classics,6
725,"REQUIEM TYCOON",167,"A Unbelieveable Character Study of a Cat And a Database Administrator who must Pursue a Teacher in A Monastery","Trailers,Commentaries,Behind the Scenes",2006,6,4.99,25.99,English,Classics,6
731,"RIGHT CRANES",153,"A Fateful Character Study of a Boat And a Cat who must Find a Database Administrator in A Jet Boat","Trailers,Commentaries,Deleted Scenes",2006,7,4.99,29.99,English,Classics,3
744,"ROOTS REMEMBER",89,"A Brilliant Drama of a Mad Cow And a Hunter who must Escape a Hunter in Berlin","Commentaries,Deleted Scenes,Behind the Scenes",2006,4,0.99,23.99,English,Classics,5
808,"SLING LUKE",84,"A Intrepid Character Study of a Robot And a Monkey who must Reach a Secret Agent in An Abandoned Amusement Park","Behind the Scenes",2006,5,0.99,10.99,English,Classics,2
815,"SNATCHERS MONTEZUMA",74,"A Boring Epistle of a Sumo Wrestler And a Woman who must Escape a Man in The Canadian Rockies",Commentaries,2006,4,2.99,14.99,English,Classics,3
828,"SPIKING ELEMENT",79,"A Lacklusture Epistle of a Dentist And a Technical Writer who must Find a Dog in A Monastery","Trailers,Deleted Scenes,Behind the Scenes",2006,7,2.99,12.99,English,Classics,4
843,"STEEL SANTA",143,"A Fast-Paced Yarn of a Composer And a Frisbee who must Face a Moose in Nigeria","Commentaries,Deleted Scenes",2006,4,4.99,15.99,English,Classics,7
862,"SUMMER SCARFACE",53,"A Emotional Panorama of a Lumberjack And a Hunter who must Meet a Girl in A Shark Tank","Deleted Scenes,Behind the Scenes",2006,5,0.99,25.99,English,Classics,5
891,"TIMBERLAND SKY",69,"A Boring Display of a Man And a Dog who must Redeem a Girl in A U-Boat",Commentaries,2006,3,0.99,13.99,English,Classics,7
895,"TOMORROW HUSTLER",142,"A Thoughtful Story of a Moose And a Husband who must Face a Secret Agent in The Sahara Desert",Commentaries,2006,3,2.99,21.99,English,Classics,7
899,"TOWERS HURRICANE",144,"A Fateful Display of a Monkey And a Car who must Sink a Husband in A MySQL Convention","Commentaries,Behind the Scenes",2006,7,0.99,14.99,English,Classics,3
951,"VOYAGE LEGALLY",78,"A Epic Tale of a Squirrel And a Hunter who must Conquer a Boy in An Abandoned Mine Shaft","Commentaries,Behind the Scenes",2006,6,0.99,28.99,English,Classics,7
962,"WASTELAND DIVINE",85,"A Fanciful Story of a Database Administrator And a Womanizer who must Fight a Database Administrator in Ancient China","Trailers,Deleted Scenes,Behind the Scenes",2006,7,2.99,18.99,English,Classics,4
970,"WESTWARD SEABISCUIT",52,"A Lacklusture Tale of a Butler And a Husband who must Face a Boy in Ancient China","Commentaries,Deleted Scenes",2006,7,0.99,11.99,English,Classics,7
7,"AIRPLANE SIERRA",62,"A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat","Trailers,Deleted Scenes",2006,6,4.99,28.99,English,Comedy,5
28,"ANTHEM LUKE",91,"A Touching Panorama of a Waitress And a Woman who must Outrace a Dog in An Abandoned Amusement Park","Deleted Scenes,Behind the Scenes",2006,5,4.99,16.99,English,Comedy,3
99,"BRINGING HYSTERICAL",136,"A Fateful Saga of a A Shark And a Technical Writer who must Find a Woman in A Jet Boat",Trailers,2006,7,2.99,14.99,English,Comedy,6
119,"CAPER MOTIONS",176,"A Fateful Saga of a Moose And a Car who must Pursue a Woman in A MySQL Convention","Trailers,Commentaries,Deleted Scenes",2006,6,0.99,22.99,English,Comedy,7
127,"CAT CONEHEADS",112,"A Fast-Paced Panorama of a Girl And a A Shark who must Confront a Boy in Ancient India","Commentaries,Deleted Scenes",2006,5,4.99,14.99,English,Comedy,8
159,"CLOSER BANG",58,"A Unbelieveable Panorama of a Frisbee And a Hunter who must Vanquish a Monkey in Ancient India","Trailers,Behind the Scenes",2006,5,4.99,12.99,English,Comedy,7
178,"CONNECTION MICROCOSMOS",115,"A Fateful Documentary of a Crocodile And a Husband who must Face a Husband in The First Manned Space Station","Deleted Scenes,Behind the Scenes",2006,6,0.99,25.99,English,Comedy,2
182,"CONTROL ANTHEM",185,"A Fateful Documentary of a Robot And a Student who must Battle a Cat in A Monastery",Commentaries,2006,7,4.99,9.99,English,Comedy,2
188,"CRAZY HOME",136,"A Fanciful Panorama of a Boy And a Woman who must Vanquish a Database Administrator in The Outback","Commentaries,Deleted Scenes",2006,7,2.99,24.99,English,Comedy,3
202,"DADDY PITTSBURGH",161,"A Epic Story of a A Shark And a Student who must Confront a Explorer in The Gulf of Mexico","Deleted Scenes,Behind the Scenes",2006,5,4.99,26.99,English,Comedy,3
242,"DOOM DANCING",68,"A Astounding Panorama of a Car And a Mad Scientist who must Battle a Lumberjack in A MySQL Convention","Trailers,Commentaries",2006,4,0.99,13.99,English,Comedy,5
247,"DOWNHILL ENOUGH",47,"A Emotional Tale of a Pastry Chef And a Forensic Psychologist who must Succumb a Monkey in The Sahara Desert","Trailers,Commentaries,Deleted Scenes",2006,3,0.99,19.99,English,Comedy,7
265,"DYING MAKER",168,"A Intrepid Tale of a Boat And a Monkey who must Kill a Cat in California","Behind the Scenes",2006,5,4.99,28.99,English,Comedy,4
276,"ELEMENT FREDDY",115,"A Awe-Inspiring Reflection of a Waitress And a Squirrel who must Kill a Mad Cow in A Jet Boat","Commentaries,Behind the Scenes",2006,6,4.99,28.99,English,Comedy,4
308,"FERRIS MOTHER",142,"A Touching Display of a Frisbee And a Frisbee who must Kill a Girl in The Gulf of Mexico","Trailers,Deleted Scenes,Behind the Scenes",2006,3,2.99,13.99,English,Comedy,4
317,"FIREBALL PHILADELPHIA",148,"A Amazing Yarn of a Dentist And a A Shark who must Vanquish a Madman in An Abandoned Mine Shaft","Trailers,Commentaries,Behind the Scenes",2006,4,0.99,25.99,English,Comedy,7
324,"FLINTSTONES HAPPINESS",148,"A Fateful Story of a Husband And a Moose who must Vanquish a Boy in California","Trailers,Commentaries,Deleted Scenes,Behind the Scenes",2006,3,4.99,11.99,English,Comedy,5
335,"FREEDOM CLEOPATRA",133,"A Emotional Reflection of a Dentist And a Mad Cow who must Face a Squirrel in A Baloon","Trailers,Commentaries,Behind the Scenes",2006,5,0.99,23.99,English,Comedy,2
365,"GOLD RIVER",154,"A Taut Documentary of a Database Administrator And a Waitress who must Reach a Mad Scientist in A Baloon Factory","Trailers,Commentaries,Deleted Scenes,Behind the Scenes",2006,4,4.99,21.99,English,Comedy,4
385,"GROUNDHOG UNCUT",139,"A Brilliant Panorama of a Astronaut And a Technical Writer who must Discover a Butler in A Manhattan Penthouse","Trailers,Commentaries,Deleted Scenes,Behind the Scenes",2006,6,4.99,26.99,English,Comedy,5
388,"GUNFIGHT MOON",70,"A Epic Reflection of a Pastry Chef And a Explorer who must Reach a Dentist in The Sahara Desert","Deleted Scenes,Behind the Scenes",2006,5,0.99,16.99,English,Comedy,6
410,"HEAVEN FREEDOM",48,"A Intrepid Story of a Butler And a Car who must Vanquish a Man in New Orleans",Commentaries,2006,7,2.99,19.99,English,Comedy,5
413,"HEDWIG ALTER",169,"A Action-Packed Yarn of a Womanizer And a Lumberjack who must Chase a Sumo Wrestler in A Monastery","Trailers,Commentaries,Behind the Scenes",2006,7,2.99,16.99,English,Comedy,3
443,"HURRICANE AFFAIR",49,"A Lacklusture Epistle of a Database Administrator And a Woman who must Meet a Hunter in An Abandoned Mine Shaft","Trailers,Commentaries,Behind the Scenes",2006,6,2.99,11.99,English,Comedy,7
444,"HUSTLER PARTY",83,"A Emotional Reflection of a Sumo Wrestler And a Monkey who must Conquer a Robot in The Sahara Desert","Trailers,Commentaries,Behind the Scenes",2006,3,4.99,22.99,English,Comedy,8
478,"JAWS HARRY",112,"A Thrilling Display of a Database Administrator And a Monkey who must Overcome a Dog in An Abandoned Fun House","Deleted Scenes",2006,4,2.99,10.99,English,Comedy,5
502,"KNOCK WARLOCK",71,"A Unbelieveable Story of a Teacher And a Boat who must Confront a Moose in A Baloon",Trailers,2006,4,2.99,21.99,English,Comedy,7
522,"LIFE TWISTED",137,"A Thrilling Reflection of a Teacher And a Composer who must Find a Man in The First Manned Space Station","Commentaries,Deleted Scenes",2006,4,2.99,9.99,English,Comedy,2
524,"LION UNCUT",50,"A Intrepid Display of a Pastry Chef And a Cat who must Kill a A Shark in Ancient China","Trailers,Deleted Scenes",2006,6,0.99,13.99,English,Comedy,6
529,"LONELY ELEPHANT",67,"A Intrepid Story of a Student And a Dog who must Challenge a Explorer in Soviet Georgia","Trailers,Commentaries,Deleted Scenes,Behind the Scenes",2006,3,2.99,12.99,English,Comedy,4
555,"MALLRATS UNITED",133,"A Thrilling Yarn of a Waitress And a Dentist who must Find a Hunter in A Monastery","Trailers,Commentaries,Deleted Scenes",2006,4,0.99,25.99,English,Comedy,7
568,"MEMENTO ZOOLANDER",77,"A Touching Epistle of a Squirrel And a Explorer who must Redeem a Pastry Chef in The Sahara Desert","Behind the Scenes",2006,4,4.99,11.99,English,Comedy,4
604,"MULAN MOON",160,"A Emotional Saga of a Womanizer And a Pioneer who must Overcome a Dentist in A Baloon","Behind the Scenes",2006,4,0.99,10.99,English,Comedy,3
613,"MYSTIC TRUMAN",92,"A Epic Yarn of a Teacher And a Hunter who must Outgun a Explorer in Soviet Georgia","Commentaries,Behind the Scenes",2006,5,0.99,19.99,English,Comedy,2
638,"OPERATION OPERATION",156,"A Intrepid Character Study of a Man And a Frisbee who must Overcome a Madman in Ancient China","Trailers,Commentaries,Deleted Scenes,Behind the Scenes",2006,7,2.99,23.99,English,Comedy,8
657,"PARADISE SABRINA",48,"A Intrepid Yarn of a Car And a Moose who must Outrace a Crocodile in A Manhattan Penthouse","Commentaries,Deleted Scenes,Behind the Scenes",2006,5,2.99,12.99,English,Comedy,6
660,"PARTY KNOCK",107,"A Fateful Display of a Technical Writer And a Butler who must Battle a Sumo Wrestler in An Abandoned Mine Shaft","Trailers,Behind the Scenes",2006,7,2.99,11.99,English,Comedy,4
672,"PERFECT GROOVE",82,"A Thrilling Yarn of a Dog And a Dog who must Build a Husband in A Baloon","Commentaries,Deleted Scenes,Behind the Scenes",2006,7,2.99,17.99,English,Comedy,6
680,"PINOCCHIO SIMON",103,"A Action-Packed Reflection of a Mad Scientist And a A Shark who must Find a Feminist in California","Commentaries,Behind the Scenes",2006,4,4.99,21.99,English,Comedy,6
704,"PURE RUNNER",121,"A Thoughtful Documentary of a Student And a Madman who must Challenge a Squirrel in A Manhattan Penthouse","Trailers,Deleted Scenes",2006,3,2.99,25.99,English,Comedy,5
754,"RUSHMORE MERMAID",150,"A Boring Story of a Woman And a Moose who must Reach a Husband in A Shark Tank","Trailers,Commentaries,Deleted Scenes",2006,6,2.99,17.99,English,Comedy,2
756,"SADDLE ANTITRUST",80,"A Stunning Epistle of a Feminist And a A Shark who must Battle a Woman in An Abandoned Fun House","Trailers,Deleted Scenes",2006,7,2.99,10.99,English,Comedy,3
765,"SATURN NAME",182,"A Fateful Epistle of a Butler And a Boy who must Redeem a Teacher in Berlin","Trailers,Commentaries,Deleted Scenes,Behind the Scenes",2006,7,4.99,18.99,English,Comedy,4
774,"SEARCHERS WAIT",182,"A Fast-Paced Tale of a Car And a Mad Scientist who must Kill a Womanizer in Ancient Japan","Trailers,Commentaries,Deleted Scenes,Behind the Scenes",2006,3,2.99,22.99,English,Comedy,4
814,"SNATCH SLIPPER",110,"A Insightful Panorama of a Woman And a Feminist who must Defeat a Forensic Psychologist in Berlin",Commentaries,2006,6,4.99,15.99,English,Comedy,7
837,"STAGE WORLD",85,"A Lacklusture Panorama of a Woman And a Frisbee who must Chase a Crocodile in A Jet Boat","Commentaries,Behind the Scenes",2006,4,2.99,19.99,English,Comedy,3
857,"STRICTLY SCARFACE",144,"A Touching Reflection of a Crocodile And a Dog who must Chase a Hunter in An Abandoned Fun House","Commentaries,Deleted Scenes,Behind the Scenes",2006,3,2.99,24.99,English,Comedy,7
858,"SUBMARINE BED",127,"A Amazing Display of a Car And a Monkey who must Fight a Teacher in Soviet Georgia",Trailers,2006,5,4.99,21.99,English,Comedy,4
871,"SWEDEN SHINING",176,"A Taut Documentary of a Car And a Robot who must Conquer a Boy in The Canadian Rockies","Deleted Scenes,Behind the Scenes",2006,6,4.99,19.99,English,Comedy,5
905,"TRAINSPOTTING STRANGERS",132,"A Fast-Paced Drama of a Pioneer And a Mad Cow who must Challenge a Madman in Ancient Japan",Trailers,2006,7,4.99,10.99,English,Comedy,3
906,"TRAMP OTHERS",171,"A Brilliant Display of a Composer And a Cat who must Succumb a A Shark in Ancient India","Deleted Scenes",2006,4,0.99,27.99,English,Comedy,5
932,"VALLEY PACKER",73,"A Astounding Documentary of a Astronaut And a Boy who must Outrace a Sumo Wrestler in Berlin","Commentaries,Deleted Scenes",2006,3,0.99,21.99,English,Comedy,4
938,"VELVET TERMINATOR",173,"A Lacklusture Tale of a Pastry Chef And a Technical Writer who must Confront a Crocodile in An Abandoned Amusement Park","Behind the Scenes",2006,3,4.99,14.99,English,Comedy,6
